almond	573.0	262.0	0.06057105	209.0	187.0	199.0
leek	844.0	526.0	0.011385392	0.0	131.0	61.0
blueberry	440.0	263.0	0.0047229817	255.0	255.0	0.0
wood	634.0	387.0	5.7128444E-4	255.0	118.0	51.0
caviar	659.0	573.0	0.0022475908	124.0	169.0	255.0
fish	692.0	634.0	0.08962495	124.0	169.0	255.0
mandarin	473.0	214.0	0.0020340174	255.0	255.0	0.0
roquefort cheese	392.0	569.0	9.60344E-4	255.0	255.0	255.0
bacon	747.0	417.0	0.029626092	230.0	0.0	0.0
romano cheese	378.0	542.0	0.008752544	255.0	255.0	255.0
lemongrass	463.0	105.0	0.031724293	153.0	243.0	77.0
apricot	368.0	300.0	0.019610899	255.0	255.0	0.0
olive	240.0	278.0	0.037683513	255.0	255.0	0.0
rutabaga	486.0	633.0	0.0028952078	0.0	131.0	61.0
herring	636.0	638.0	0.014036123	124.0	169.0	255.0
parsnip	585.0	395.0	0.0050464203	0.0	131.0	61.0
camembert cheese	466.0	534.0	0.0015524887	255.0	255.0	255.0
kiwi	460.0	303.0	0.0025762098	255.0	255.0	0.0
egg noodle	836.0	338.0	0.011527362	255.0	234.0	214.0
turnip	883.0	570.0	0.007831094	0.0	131.0	61.0
red algae	1009.0	494.0	7.9617836E-4	0.0	131.0	61.0
black sesame seed	588.0	120.0	0.005153151	209.0	187.0	199.0
saffron	797.0	283.0	0.019851957	240.0	172.0	21.0
smoked salmon	655.0	600.0	0.004700451	124.0	169.0	255.0
truffle	497.0	518.0	0.0028360502	0.0	131.0	61.0
peanut oil	620.0	572.0	0.0126754455	131.0	129.0	23.0
celery oil	832.0	179.0	0.013435957	131.0	129.0	23.0
cassava	247.0	202.0	0.0031038155	0.0	131.0	61.0
sturgeon caviar	690.0	584.0	2.4081879E-5	124.0	169.0	255.0
cheddar cheese	437.0	583.0	0.029330067	255.0	255.0	255.0
mango	366.0	265.0	0.017716032	255.0	255.0	0.0
smoke	815.0	336.0	0.010612836	131.0	129.0	23.0
licorice	823.0	246.0	0.001610521	240.0	172.0	21.0
beef broth	807.0	433.0	0.02334476	230.0	0.0	0.0
sheep cheese	378.0	609.0	3.0765784E-4	255.0	255.0	255.0
emmental cheese	277.0	550.0	3.7608124E-4	255.0	255.0	255.0
butter	565.0	578.0	0.2953259	255.0	255.0	255.0
gin	242.0	248.0	9.3457714E-4	144.0	3.0	31.0
munster cheese	287.0	534.0	5.4656074E-4	255.0	255.0	255.0
tarragon	505.0	86.0	0.007370475	153.0	243.0	77.0
salmon	611.0	613.0	0.008253651	124.0	169.0	255.0
macaroni	794.0	396.0	0.039579656	255.0	234.0	214.0
orange juice	356.0	249.0	0.019855268	255.0	255.0	0.0
hop	479.0	625.0	2.121225E-4	255.0	234.0	214.0
matsutake	918.0	658.0	0.0072045196	0.0	131.0	61.0
black pepper	733.0	177.0	0.21388343	240.0	172.0	21.0
black raspberry	429.0	247.0	1.9265503E-4	255.0	255.0	0.0
sage	477.0	148.0	0.009159351	153.0	243.0	77.0
currant	327.0	248.0	0.00995195	255.0	255.0	0.0
thyme	764.0	281.0	0.0392733	153.0	243.0	77.0
cacao	846.2944	450.72647	5.417234E-4	131.0	129.0	23.0
carrot	753.0	243.0	0.090684585	0.0	131.0	61.0
porcini	944.0	623.0	0.0037469235	0.0	131.0	61.0
hazelnut	566.0	704.0	0.011331826	209.0	187.0	199.0
scallop	843.0	430.0	0.00607788	124.0	169.0	255.0
haddock	618.0	662.0	0.0019087882	124.0	169.0	255.0
date	440.0	695.0	0.009394157	255.0	255.0	0.0
